Topic,Problem,Note,Difficulty,Done?,,
Treap,https://cses.fi/problemset/task/2072,basic,4,FALSE,,
Treap,https://otog.in.th/problem/877,implement หนัก(มาก),5,FALSE,,
Treap,https://programming.in.th/tasks/o60_may08_hahaha,,5,FALSE,,
Treap,https://cses.fi/problemset/task/2073,lazy,5,FALSE,,
Treap,https://cses.fi/problemset/task/2074,lazy,5,FALSE,,
Trie,https://codeforces.com/contest/633/problem/C,-,3,FALSE,,
Trie,https://codeforces.com/problemset/problem/706/D,-,3,FALSE,,
Trie,https://codeforces.com/contest/1902/problem/E,dp,4,FALSE,,
Trie,https://oj.uz/problem/view/IZhO12_xor,,4,FALSE,,
Trie,https://oj.uz/problem/view/COCI20_klasika,,4,FALSE,,
Trie,https://oj.uz/problem/view/JOI16_selling_rna,offline query,5,FALSE,,
Knuth,https://codeforces.com/contest/1101/problem/F,,5,FALSE,,
Persistence Segment Tree,https://codeforces.com/contest/1080/problem/F,,4,FALSE,,
